latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp
-6.158,20.128,317.9,1,1,2017-05-07,09:05,T,54,6.0NRT,299.9,9.6
-6.159,20.137,316.4,1,1,2017-05-07,09:05,T,53,6.0NRT,298.1,7.8
-6.937,25.565,316.6,2.3,1.5,2017-05-07,09:05,T,54,6.0NRT,294.6,26.3
24.516,33.151,333.2,2.3,1.5,2017-05-07,09:00,T,61,6.0NRT,320.5,37.4
11.877,33.161,332,4.2,1.9,2017-05-07,09:00,T,59,6.0NRT,305.1,78.5
13.01,24.152,332.8,1,1,2017-05-07,09:00,T,62,6.0NRT,316,9.3
11.96,29.244,331.3,2.1,1.4,2017-05-07,09:00,T,61,6.0NRT,313.1,26.2
11.812,26.722,343.5,1.4,1.2,2017-05-07,09:00,T,85,6.0NRT,317.5,37.7
11.81,26.734,342.6,1.4,1.2,2017-05-07,09:00,T,84,6.0NRT,317.7,35.4
34.879,37.979,318.8,2.7,1.6,2017-05-07,08:55,T,60,6.0NRT,302.8,26.9
34.872,38.009,324.7,2.8,1.6,2017-05-07,08:55,T,73,6.0NRT,303.1,53.9
-6.993,25.91,319.1,2.4,1.5,2017-05-07,09:10,T,74,6.0NRT,293.4,37.8
-7.007,25.908,349.9,2.4,1.5,2017-05-07,09:10,T,95,6.0NRT,294.4,201.6
-6.07,18.539,316.6,1,1,2017-05-07,09:10,T,38,6.0NRT,296.5,7.4
-7.121,24.917,322,2,1.4,2017-05-07,09:10,T,73,6.0NRT,291.5,36.4
-7.123,24.935,324.5,2,1.4,2017-05-07,09:10,T,79,6.0NRT,292.5,43.9
-7.125,24.929,328.4,2,1.4,2017-05-07,09:10,T,83,6.0NRT,292.3,57.5
-7.303,25.574,312.8,2.3,1.5,2017-05-07,09:10,T,40,6.0NRT,289.5,18.8
-7.306,25.595,318.4,2.3,1.5,2017-05-07,09:10,T,64,6.0NRT,292.7,33.2
-7.303,25.589,322.1,2.3,1.5,2017-05-07,09:10,T,77,6.0NRT,292.9,49.2
-7.13,22.84,320.2,1.4,1.2,2017-05-07,09:10,T,76,6.0NRT,294.8,20
-7.605,24.817,321.5,2,1.4,2017-05-07,09:10,T,77,6.0NRT,284.7,41.9
-7.719,25.179,314.4,2.2,1.4,2017-05-07,09:10,T,59,6.0NRT,291.2,21.2
-8.443,27.176,316.7,3.2,1.7,2017-05-07,09:10,T,68,6.0NRT,288,63.5
-8.615,28.298,307.7,3.9,1.8,2017-05-07,09:10,T,48,6.0NRT,289.8,35.1
-8.149,24.191,316.2,1.8,1.3,2017-05-07,09:10,T,69,6.0NRT,289.5,21.2
-8.161,24.189,316.2,1.8,1.3,2017-05-07,09:10,T,69,6.0NRT,290,20.2
-8.207,24.442,311.2,1.9,1.4,2017-05-07,09:10,T,59,6.0NRT,291.6,12
-8.139,23.519,322.2,1.6,1.3,2017-05-07,09:10,T,77,6.0NRT,295.2,29.6
-8.141,23.533,317.4,1.6,1.3,2017-05-07,09:10,T,71,6.0NRT,291.6,20.2
-8.614,26.969,320.3,3.1,1.7,2017-05-07,09:10,T,74,6.0NRT,293.4,65.3
-8.453,25.013,311.2,2.2,1.4,2017-05-07,09:10,T,59,6.0NRT,294.5,13.5
-8.416,24.136,320.9,1.8,1.3,2017-05-07,09:10,T,76,6.0NRT,289.6,32.8
-8.418,24.153,338.9,1.9,1.3,2017-05-07,09:10,T,90,6.0NRT,294,89.2
-8.806,27.046,313.2,3.2,1.7,2017-05-07,09:10,T,58,6.0NRT,292.6,38.9
-8.135,21.847,313.6,1.3,1.1,2017-05-07,09:10,T,60,6.0NRT,290.8,11
-8.258,22.607,309,1.4,1.2,2017-05-07,09:10,T,54,6.0NRT,291.9,6.5
-7.454,16.91,311.9,1.1,1.1,2017-05-07,09:10,T,39,6.0NRT,287.8,6.7
-7.464,16.909,309.9,1.1,1.1,2017-05-07,09:10,T,33,6.0NRT,286,5.1
-7.586,17.294,310,1.1,1,2017-05-07,09:10,T,28,6.0NRT,284.2,6.8
-7.343,15.331,304.6,1.4,1.2,2017-05-07,09:10,T,53,6.0NRT,279.9,7.4
-8.722,24.881,319,2.1,1.4,2017-05-07,09:10,T,74,6.0NRT,294.3,30.5
-9.053,26.73,312.9,3,1.7,2017-05-07,09:10,T,36,6.0NRT,292.8,38.4
-9.149,25.84,316.2,2.6,1.5,2017-05-07,09:10,T,69,6.0NRT,294.3,28.5
-9.141,25.834,322.4,2.6,1.5,2017-05-07,09:10,T,78,6.0NRT,294.5,53.6
-8.115,17.983,310.2,1,1,2017-05-07,09:10,T,53,6.0NRT,289.5,6
-7.857,15.351,318.2,1.3,1.1,2017-05-07,09:10,T,76,6.0NRT,291.3,16.3
-9.036,23.382,316.5,1.7,1.3,2017-05-07,09:10,T,71,6.0NRT,291.8,18.8
-9.038,23.397,312.9,1.7,1.3,2017-05-07,09:10,T,51,6.0NRT,291.3,12.9
-9.047,23.381,313.9,1.7,1.3,2017-05-07,09:10,T,48,6.0NRT,291.2,14.2
-9.284,24.695,312.2,2.1,1.4,2017-05-07,09:10,T,49,6.0NRT,293.2,17.9
-8.275,17.516,316,1,1,2017-05-07,09:10,T,63,6.0NRT,298.1,8.9
-9.285,24.689,311.4,2.1,1.4,2017-05-07,09:10,T,64,6.0NRT,292.7,18.2
-9.287,24.708,312.7,2.1,1.4,2017-05-07,09:10,T,66,6.0NRT,293.8,21.6
-8.481,18.77,309.3,1,1,2017-05-07,09:10,T,61,6.0NRT,288.5,5.5
-9.142,23.06,310.4,1.6,1.2,2017-05-07,09:10,T,46,6.0NRT,293.1,9.1
-9.153,23.059,310.1,1.6,1.2,2017-05-07,09:10,T,39,6.0NRT,292.6,8.5
-8.948,21.388,323.9,1.2,1.1,2017-05-07,09:10,T,80,6.0NRT,287.5,24.9
-8.95,21.399,325.2,1.2,1.1,2017-05-07,09:10,T,81,6.0NRT,287.1,26.3
-8.953,21.421,308.2,1.2,1.1,2017-05-07,09:10,T,53,6.0NRT,286.4,6
-8.954,21.432,316.1,1.2,1.1,2017-05-07,09:10,T,71,6.0NRT,287.4,13.7
-8.589,18.509,306.9,1,1,2017-05-07,09:10,T,53,6.0NRT,284.1,4.3
-8.236,15.679,307.1,1.3,1.1,2017-05-07,09:10,T,41,6.0NRT,288.4,4
-8.965,20.582,319.1,1.1,1,2017-05-07,09:10,T,57,6.0NRT,301.9,11.4
-9.109,21.221,318.5,1.2,1.1,2017-05-07,09:10,T,71,6.0NRT,302.2,13
-9.437,22.96,309.6,1.6,1.2,2017-05-07,09:10,T,58,6.0NRT,293.5,8
-7.844,12.103,315.9,2.3,1.5,2017-05-07,09:10,T,65,6.0NRT,291.6,40.1
-7.847,12.124,314.1,2.3,1.5,2017-05-07,09:10,T,60,6.0NRT,292,34.7
-8.994,19.57,312.7,1,1,2017-05-07,09:10,T,66,6.0NRT,286.3,8.8
-8.995,19.579,306.5,1,1,2017-05-07,09:10,T,46,6.0NRT,286.7,4.2
-9.621,22.966,309.7,1.6,1.2,2017-05-07,09:10,T,37,6.0NRT,295.1,7.3
-9.632,22.965,313.4,1.6,1.2,2017-05-07,09:10,T,67,6.0NRT,295.3,12.6
-9.149,19.31,312.3,1,1,2017-05-07,09:10,T,66,6.0NRT,288.9,7.2
-8.904,17.594,311.3,1,1,2017-05-07,09:10,T,68,6.0NRT,292.3,5.8
-9.308,20.231,308.9,1.1,1,2017-05-07,09:10,T,51,6.0NRT,293.1,5
-9.457,20.667,331.1,1.1,1.1,2017-05-07,09:10,T,85,6.0NRT,296.2,27.6
-9.458,20.677,338.7,1.1,1.1,2017-05-07,09:10,T,90,6.0NRT,297.4,41.5
-9.462,20.671,339,1.1,1.1,2017-05-07,09:10,T,90,6.0NRT,297.9,42.5
-9.463,20.681,321.9,1.1,1.1,2017-05-07,09:10,T,74,6.0NRT,296.8,16
-8.707,15.546,311.3,1.3,1.1,2017-05-07,09:10,T,66,6.0NRT,289.4,10
-8.717,15.545,309.5,1.3,1.1,2017-05-07,09:10,T,61,6.0NRT,288.5,8.3
-9.028,17.373,318.9,1,1,2017-05-07,09:10,T,77,6.0NRT,288,13.9
-9.02,17.2,317.7,1.1,1,2017-05-07,09:10,T,75,6.0NRT,292.9,10.9
-9.029,17.199,312.7,1.1,1,2017-05-07,09:10,T,61,6.0NRT,292.6,6.3
-9.07,17.35,307.1,1,1,2017-05-07,09:10,T,53,6.0NRT,287.3,3.6
-9.071,17.36,306.8,1,1,2017-05-07,09:10,T,52,6.0NRT,286.6,3.6
-9.266,18.23,311,1,1,2017-05-07,09:10,T,55,6.0NRT,290.6,4.9
-9.594,20.302,322.8,1.1,1,2017-05-07,09:10,T,78,6.0NRT,297.2,17.1
-9.191,17.479,311.5,1,1,2017-05-07,09:10,T,62,6.0NRT,291.5,4.9
-9.192,17.488,327.1,1,1,2017-05-07,09:10,T,83,6.0NRT,293.1,20.2
-9.632,20.297,317.1,1.1,1,2017-05-07,09:10,T,69,6.0NRT,298.7,9.4
-9.228,17.416,335.7,1,1,2017-05-07,09:10,T,89,6.0NRT,291.3,32
-9.229,17.425,314.9,1,1,2017-05-07,09:10,T,26,6.0NRT,290.8,7.2
-9.237,17.415,328.5,1,1,2017-05-07,09:10,T,84,6.0NRT,290.6,21.5
-9.246,17.413,319.3,1,1,2017-05-07,09:10,T,76,6.0NRT,289.2,11.5
-9.811,21.129,317,1.2,1.1,2017-05-07,09:10,T,70,6.0NRT,296.2,13.8
-9.33,17.546,312.7,1,1,2017-05-07,09:10,T,27,6.0NRT,292.9,5.2
-9.474,17.707,308.6,1,1,2017-05-07,09:10,T,34,6.0NRT,290.1,4.1
-9.483,17.706,312.1,1,1,2017-05-07,09:10,T,65,6.0NRT,289.9,6.7
-9.554,17.566,309.8,1,1,2017-05-07,09:10,T,59,6.0NRT,293,4.8
-9.556,17.576,311.8,1,1,2017-05-07,09:10,T,64,6.0NRT,292.9,6.3
-9.643,17.791,319.5,1,1,2017-05-07,09:10,T,70,6.0NRT,299.1,8.5
-9.697,17.72,314.6,1,1,2017-05-07,09:10,T,68,6.0NRT,292.8,6.6
-9.698,17.73,320.3,1,1,2017-05-07,09:10,T,76,6.0NRT,294.7,11.4
-9.838,18.167,317.8,1,1,2017-05-07,09:10,T,73,6.0NRT,298.1,10.3
-9.968,18.363,313.5,1,1,2017-05-07,09:10,T,67,6.0NRT,298.1,6.7
11.5,26.807,351,1.4,1.2,2017-05-07,09:05,T,93,6.0NRT,319.2,60.4
11.498,26.819,342.1,1.4,1.2,2017-05-07,09:05,T,83,6.0NRT,319.2,31.5
11.299,26.463,336.3,1.3,1.1,2017-05-07,09:05,T,73,6.0NRT,317.6,16.3
9.565,27.666,319.9,1.7,1.3,2017-05-07,09:05,T,0,6.0NRT,274.5,20.8
9.213,22.29,327.9,1,1,2017-05-07,09:05,T,70,6.0NRT,301.4,9.3
7.589,28.952,330.8,2.4,1.5,2017-05-07,09:05,T,69,6.0NRT,305.1,44.5
8.985,19.372,325.7,1.3,1.1,2017-05-07,09:05,T,61,6.0NRT,301.2,8.7
8.984,19.384,328.3,1.3,1.1,2017-05-07,09:05,T,71,6.0NRT,301.5,13.7
-4.505,25.198,314.7,1.9,1.4,2017-05-07,09:05,T,39,6.0NRT,291.5,18.6
-4.755,26.594,315,2.5,1.5,2017-05-07,09:05,T,71,6.0NRT,290.4,31.4
-4.762,26.588,314.1,2.5,1.5,2017-05-07,09:05,T,44,6.0NRT,290.2,26.5
-4.982,27.129,313.2,2.8,1.6,2017-05-07,09:05,T,37,6.0NRT,291.1,31.1
-4.979,26.235,308.9,2.4,1.5,2017-05-07,09:05,T,50,6.0NRT,285.5,14.9
-5.019,26.159,310.4,2.3,1.5,2017-05-07,09:05,T,62,6.0NRT,287.4,17.8
-5.221,27.313,312.3,2.9,1.6,2017-05-07,09:05,T,33,6.0NRT,291,34.8
-5.371,27.996,315.7,3.3,1.7,2017-05-07,09:05,T,67,6.0NRT,288.3,61.8
-3.812,16.247,309.3,1.3,1.1,2017-05-07,09:05,T,37,6.0NRT,290.2,7.9
-5.361,26.088,322.7,2.3,1.5,2017-05-07,09:05,T,79,6.0NRT,293.7,43.7
-5.444,25.925,306.7,2.3,1.5,2017-05-07,09:05,T,16,6.0NRT,280.4,15.4
-5.884,27.963,313.7,3.4,1.7,2017-05-07,09:05,T,29,6.0NRT,289,35.4
-5.879,27.958,314.1,3.4,1.7,2017-05-07,09:05,T,48,6.0NRT,288.9,39.6
-5.906,27.804,314.5,3.3,1.7,2017-05-07,09:05,T,63,6.0NRT,291.8,45.5
-5.636,25.603,331.4,2.2,1.4,2017-05-07,09:05,T,85,6.0NRT,292.1,74.1
-5.638,25.622,322.4,2.2,1.4,2017-05-07,09:05,T,78,6.0NRT,292.2,41.1
-6.009,28.097,321.7,3.5,1.8,2017-05-07,09:05,T,65,6.0NRT,291.1,77.8
-5.635,25.596,318.5,2.2,1.4,2017-05-07,09:05,T,48,6.0NRT,290.9,28.8
-5.637,25.616,326.3,2.2,1.4,2017-05-07,09:05,T,81,6.0NRT,292.9,52.4
-6.003,28.091,317.8,3.5,1.8,2017-05-07,09:05,T,42,6.0NRT,291.9,60.3
-5.947,25.4,322.6,2.1,1.4,2017-05-07,09:05,T,59,6.0NRT,300.4,33.5
-9.068,17.337,311.6,2.6,1.5,2017-05-07,12:00,A,36,6.0NRT,277.1,27.5
-8.593,20.81,309.7,1.4,1.2,2017-05-07,12:00,A,36,6.0NRT,289.5,7.6
-9.031,17.404,318.5,2.5,1.5,2017-05-07,12:00,A,20,6.0NRT,280.2,43.5
15.063,35.873,336.9,3,1.6,2017-05-07,10:30,A,49,6.0NRT,313.1,40.6
21.105,39.329,334.2,1.3,1.1,2017-05-07,10:30,A,85,6.0NRT,313.3,13.3
21.115,39.327,334,1.3,1.1,2017-05-07,10:30,A,81,6.0NRT,313.5,12.4
29.987,50.745,330.7,3.4,1.7,2017-05-07,10:30,A,75,6.0NRT,307.3,60.9
29.995,50.74,329.4,3.4,1.7,2017-05-07,10:30,A,73,6.0NRT,306.9,54.5
30.611,47.336,336.4,2,1.4,2017-05-07,10:30,A,77,6.0NRT,310.8,44.8
30.609,47.315,344.2,2,1.4,2017-05-07,10:30,A,87,6.0NRT,311,81
30.687,47.322,338.7,2,1.4,2017-05-07,10:30,A,78,6.0NRT,311,60.9
30.766,47.327,334.1,2,1.4,2017-05-07,10:30,A,75,6.0NRT,310.9,30.4
30.881,47.329,332,2.1,1.4,2017-05-07,10:30,A,54,6.0NRT,309.8,26.3
31.02,47.278,352.3,2,1.4,2017-05-07,10:30,A,95,6.0NRT,310.8,132.2
32.348,47.697,336.4,2.3,1.5,2017-05-07,10:30,A,79,6.0NRT,312.5,42.5
35.215,44.249,325,1.5,1.2,2017-05-07,10:35,A,56,6.0NRT,311.1,13.8
35.213,44.233,324.5,1.5,1.2,2017-05-07,10:35,A,48,6.0NRT,311.3,11.9
35.623,44.008,342.8,1.5,1.2,2017-05-07,10:35,A,89,6.0NRT,311.7,58
35.719,44.051,328.3,1.5,1.2,2017-05-07,10:35,A,67,6.0NRT,312.7,14.5
35.717,44.035,340.9,1.5,1.2,2017-05-07,10:35,A,87,6.0NRT,312.1,48.9
0.879,40.917,314.2,2.2,1.4,2017-05-07,10:25,A,18,6.0NRT,291.7,22.3
5.586,36.164,316.7,4.3,1.9,2017-05-07,10:25,A,21,6.0NRT,295.4,61.5
5.254,-3.911,321,1,1,2017-05-07,10:45,T,24,6.0NRT,297.6,10.2
4.587,-3.138,311.7,1,1,2017-05-07,10:45,T,50,6.0NRT,289.8,6.2
14.823,-4.382,336.6,1.3,1.1,2017-05-07,10:40,T,73,6.0NRT,318.1,17.5
14.821,-4.37,342.3,1.3,1.1,2017-05-07,10:40,T,83,6.0NRT,318.6,31.3
14.819,-4.358,350.9,1.3,1.1,2017-05-07,10:40,T,93,6.0NRT,318.4,55.2
14.812,-4.383,339.1,1.3,1.1,2017-05-07,10:40,T,78,6.0NRT,316.9,21.3
14.811,-4.371,337.3,1.3,1.1,2017-05-07,10:40,T,74,6.0NRT,316.3,17.2
14.441,-4.119,340.5,1.2,1.1,2017-05-07,10:40,T,81,6.0NRT,317.9,19.4
14.439,-4.108,341.6,1.2,1.1,2017-05-07,10:40,T,82,6.0NRT,318.2,22.9
14.439,-4.114,344.8,1.2,1.1,2017-05-07,10:40,T,86,6.0NRT,318.3,31.9
14.325,-4.171,341.4,1.2,1.1,2017-05-07,10:40,T,82,6.0NRT,318.7,22.9
14.313,-4.161,338.3,1.2,1.1,2017-05-07,10:40,T,77,6.0NRT,317,16.4
14.284,-4.628,337.7,1.3,1.1,2017-05-07,10:40,T,75,6.0NRT,316.4,16.6
14.283,-4.616,338.3,1.3,1.1,2017-05-07,10:40,T,77,6.0NRT,316.7,18.6
13.832,-4.598,337,1.3,1.1,2017-05-07,10:40,T,59,6.0NRT,314.7,14.2
13.527,-6.198,337.8,1.7,1.3,2017-05-07,10:40,T,66,6.0NRT,308.1,40.7
13.527,-6.189,332.7,1.7,1.3,2017-05-07,10:40,T,0,6.0NRT,307.5,24.7
13.049,-2.797,331.8,1.1,1,2017-05-07,10:40,T,63,6.0NRT,306.6,9.9
13.197,-9.191,329.2,2.8,1.6,2017-05-07,10:40,T,64,6.0NRT,303.3,40.1
